Age ,Q1. Age (in years) and  Present Location: ,Q3. Work Location,Q4.  Work Timings,Q5. Gender,Q6. Job Grade:,Q7. Years of Service in my present organization:,Q8. Highest Qualification:,Q9. Department/Function and No. of employees in my department/function ,Q10. Qualification Period of Service at present level to be eligible for promotion,Q11. I am satisfied with the promotion process in my organization,"Q12. Parameters on which my performance will be assessed has been communicated to me well in advance of performance appraisal cycle.
",Q13. I am satisfied with the overall performance appraisal system in my organization,Q14. Performance Improvement Plan (PIP) is a tactic used by my organization for me to resign from the organization.,Q15. Frequency of Trainings,Q16. Effective trainings which improve my task performance are conducted at regular intervals.,Q17. I am satisfied with my CTC.,Q18. I am paid approx. the same amount as compared to other employees in the same scale/designation  in my organization.,Q19. I am satisfied with job relocation policy of my organization.,Q20. Working with other departments for a particular project provides me great job satisfaction.,Q21. My manager and my team members facilitate good working environment and working culture.,Q22. No. of hours I usually work in a week,Q23. I have a good work life balance in my present role in the organization.,Q24. The facility of sabbatical leave is available in my organization.,Q25. Opportunity to switch functions and/or departments is provided in my organization,"If Answer to previous question i.e. Q25 is Yes, kindly Answer Q26. else answer NA
Q26. Please mention the years of service for eligibility before you can switch functions and/or departments in my organization",Q27.  I am satisfied with my health insurance package/TPA as well as health camps and wellness programs which has been provided by the organization.,Q28. I am satisfied with weekly fun events and other employee engagement programs in my organization.,Q29. My organization recognizes and appreciates when I do a good job. ,Q30. Are you planning to leave your organization in the coming months?
32,32 and Assam,Office,Other,Female,Senior Management /Top Level,> 6 years,masters,7,3 years,5,4,4,4,Half Yearly,4,3,3,4,3,4,45-55,5,Yes,Yes,2,4,4,4,Yes
22,"Age-22 , Coimbra ",WFH/Remote,IST,Female,Middle Management Group/Middle Level,< 2 years,bachelors,30,2 years,3,3,4,2,Monthly,5,3,3,5,4,4,45-55,3,Yes,No,Na,3,3,5,No
60,60 yrs  Jorhat ,Office,IST,Male,Senior Management /Top Level,< 2 years,masters,Hospital / 110,2 years,4,4,4,1,Need Basis,3,4,4,1,4,4,45-55,4,No,No,NA,3,3,4,No
45,45 Jorhat ,Hybrid,IST,Male,Middle Management Group/Middle Level,2-6 years,bachelors,Infra/5,4 years and above,1,1,1,1,Need Basis,2,2,1,4,5,5,56-60,3,Yes,No,NA,4,3,2,No
33,33,Hybrid,IST,Female,Middle Management Group/Middle Level,> 6 years,masters,Compliance department /Monitoring and Testing team/50 ,2 years,3,3,4,4,Quarterly,5,4,3,4,4,5,<45,4,No,Yes,18 months ,5,5,4,No
28,"28, Hyderabad",WFH/Remote,IST,Male,Middle Management Group/Middle Level,< 2 years,masters,"Strategic alliance, supply chain handling, responsible for business of cisco OEM as partner, Total 12 employees in department",2 years,3,3,3,5,Need Basis,2,2,3,2,3,2,>60,1,Yes,Yes,2 years,2,1,1,Yes
,Jorhat,Office,IST,Male,Senior Management /Top Level,2-6 years,masters,1,4 years and above,1,1,1,3,Need Basis,1,2,3,3,4,1,56-60,2,No,No,"Q25 was selected as ""No"" but this is compulsory to be filled",1,1,2,Yes
27,27- Bangalore,Hybrid,IST,Male,Middle Management Group/Middle Level,< 2 years,masters,650,1 year,5,4,5,4,Monthly,5,4,5,4,3,5,<45,5,Yes,Yes,No,4,5,4,No
30,30 Hyderabad,WFH/Remote,UK Timings,Female,Middle Management Group/Middle Level,2-6 years,masters,,3 years,2,5,5,5,Half Yearly,5,1,1,5,5,5,<45,4,Yes,Yes,2 years,3,1,5,No
28,28,Office,IST,Male,Junior Management Group/Entry Level,< 2 years,masters,TA,2 years,3,2,3,3,Quarterly,3,3,3,3,4,5,45-55,5,Yes,No,NA,5,4,5,No
27,27,Office,IST,Female,Middle Management Group/Middle Level,< 2 years,masters,12,1 year,4,5,4,3,Need Basis,2,4,3,2,3,3,45-55,3,Yes,No,Na,3,4,4,Maybe
25,25/bhubaneswar ,Office,IST,Female,Junior Management Group/Entry Level,< 2 years,bachelors,Centre of excellence/program associate.............. 6/program managers and associates ,1 year,3,3,3,2,Need Basis,4,3,3,3,4,4,45-55,3,Yes,No,NA,2,2,4,Maybe
25,25 Bhubaneswar ,Office,IST,Male,Junior Management Group/Entry Level,< 2 years,masters,Sales,1 year,1,1,1,5,Annually,1,1,1,1,1,1,>60,1,No,No,1,1,1,1,Yes
29,"29, Kolkata",Office,IST,Male,Middle Management Group/Middle Level,> 6 years,masters,"HR, 20 Employees",3 years,4,4,4,1,Need Basis,5,4,4,4,5,5,45-55,4,Yes,Yes,Need Basis,5,5,4,No
28,28,Office,IST,Male,Middle Management Group/Middle Level,2-6 years,bachelors,Human resource ,1 year,1,2,2,3,Monthly,3,1,1,1,1,1,<45,2,Yes,Yes,6 month's ,3,3,4,No
